Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
A - Staten Island,Dirty Conditions,"E4 18"" Law",Street,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11224,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Queens West 04,Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,Sidewalk,11373,Elmhurst,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Queens East 10,Derelict Vehicles,14 Derelict Vehicles,Street,11414,Howard Beach,Unspecified,,,,,,,,,,,,,,
Queens East 10,Derelict Vehicles,14 Derelict Vehicles,Street,11414,Howard Beach,Unspecified,,,,,,,,,,,,,,
Queens East 10,Derelict Vehicles,14 Derelict Vehicles,Street,11414,Howard Beach,Unspecified,,,,,,,,,,,,,,
Queens East 10,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,11419,South Richmond Hill,Unspecified,,,Q3_pctMale,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Bronx 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Bronx 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Lot Cleaning,Vacant Lot,8 Request to Clean Vacant Lot,Lot,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department for the Aging,Legal Services Provider Complaint,N/A,Service Provider,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,11237,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10466,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q1_pctLatino,,,,Q3_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,10468,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CABINETS,RESIDENTIAL BUILDING,11368,Corona,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Housing Preservation and Development,PLUMBING,SHOWER-STALL,RESIDENTIAL BUILDING,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11385,Ridgewood,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11104,Sunnyside,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10459,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10031,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10024,NEW YORK,Unspecified,,Q3_pctFemale,,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11103,Astoria,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11222,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10460,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10040,NEW YORK,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11212,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11212,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11421,Woodhaven,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10460,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10301,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10031,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11367,Flushing,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10454,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11418,Richmond Hill,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11237,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10034,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11231,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10459,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10451,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11412,Saint Albans,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11205,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10468,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10301,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10034,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10460,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11421,Woodhaven,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11413,Springfield Gardens,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10032,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11691,Far Rockaway,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10031,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10032,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11231,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
